Location,Application,Treatment,Zone,Sample,Pollinator_category
Wooster,Post,Conventional,4,2,Honey
Wooster,Post,Conventional,4,2,Squash
Wooster,Post,Conventional,4,2,Squash
Wooster,Post,Conventional,4,2,Honey
Wooster,Post,Conventional,4,2,Honey
Wooster,Post,Conventional,4,2,Honey
Wooster,Post,Conventional,4,2,Squash
Wooster,Post,Conventional,4,1,Squash
Wooster,Post,Conventional,4,1,Honey
Wooster,Post,Conventional,4,1,Honey
Wooster,Post,Conventional,4,1,Honey
Wooster,Post,Conventional,4,1,Honey
Wooster,Post,Conventional,4,1,Sweat
Wooster,Post,Conventional,1,2,Honey
Wooster,Post,Conventional,1,2,Honey
Wooster,Post,Conventional,1,2,Honey
Wooster,Post,Conventional,1,2,Bumble
Wooster,Post,Conventional,1,2,Honey
Wooster,Post,Conventional,3,3,Honey
Wooster,Post,Conventional,3,3,Bumble
Wooster,Post,Conventional,3,3,Honey
Wooster,Post,Conventional,3,3,Honey
Wooster,Post,Conventional,3,3,Honey
Wooster,Post,Conventional,3,3,Bumble
Wooster,Post,Conventional,3,3,Honey
Wooster,Post,Conventional,3,3,Honey
Wooster,Post,Conventional,3,3,Honey
Wooster,Post,Conventional,3,3,Honey
Wooster,Post,Conventional,1,1,Sweat
Wooster,Post,Conventional,1,1,Honey
Wooster,Post,Conventional,1,1,Sweat
Wooster,Post,Conventional,1,1,Sweat
Wooster,Post,Conventional,1,3,Longhorn
Wooster,Post,Conventional,1,3,Honey
Wooster,Post,Conventional,4,4,Honey
Wooster,Post,Conventional,4,4,Honey
Wooster,Post,Conventional,4,4,Honey
Wooster,Post,Conventional,4,4,Honey
Wooster,Post,Conventional,4,4,Honey
Wooster,Post,Conventional,4,4,Honey
Wooster,Post,Conventional,4,4,Honey
Wooster,Post,Conventional,4,3,Honey
Wooster,Post,Conventional,4,3,Honey
Wooster,Post,Conventional,4,3,Honey
Wooster,Post,Conventional,4,3,Longhorn
Wooster,Post,Conventional,4,3,Honey
Wooster,Post,Conventional,4,3,Honey
Wooster,Post,Conventional,4,4,Honey
Wooster,Post,Conventional,4,4,Honey
Wooster,Post,Conventional,4,4,Honey
Wooster,Post,Conventional,4,4,Honey
Wooster,Post,Conventional,4,4,Honey
Wooster,Post,Conventional,4,4,Honey
Wooster,Post,Conventional,4,4,Honey
Wooster,Post,Conventional,4,4,Honey
Wooster,Post,Conventional,4,4,Honey
Wooster,Post,Conventional,4,4,Honey
Wooster,Post,Conventional,3,1,Honey
Wooster,Post,Conventional,3,1,Honey
Wooster,Post,Conventional,3,2,Honey
Wooster,Post,Conventional,3,2,Honey
Wooster,Post,Conventional,3,2,Honey
Wooster,Post,Conventional,3,2,Honey
Wooster,Post,Conventional,3,2,Honey
Wooster,Post,Conventional,3,2,Honey
Wooster,Post,Conventional,2,2,Honey
Wooster,Post,Conventional,2,2,Honey
Wooster,Post,Conventional,2,2,Honey
Wooster,Post,Conventional,2,2,Bumble
Wooster,Post,Conventional,2,3,Honey
Wooster,Post,Conventional,2,1,Bumble
Wooster,Post,Conventional,2,1,Honey
Wooster,Post,Conventional,2,1,Bumble
Wooster,Post,Conventional,2,1,Honey
Wooster,Post,IPPM,1,1,Green Metallic Sweat
Wooster,Post,IPPM,1,1,Sweat
Wooster,Post,IPPM,1,1,Honey
Wooster,Post,IPPM,1,1,Honey
Wooster,Post,IPPM,1,1,Honey
Wooster,Post,IPPM,1,1,Sweat
Wooster,Post,IPPM,1,1,Honey
Wooster,Post,IPPM,1,1,Sweat
Wooster,Post,IPPM,2,1,Honey
Wooster,Post,IPPM,2,1,Honey
Wooster,Post,IPPM,2,1,Honey
